track_name	size_bytes	price	rating_count_tot	sup_devices.num	ipadSc_urls.num	lang.num	vpp_lic	currency_USD	cont_rating_12+	cont_rating_17+	cont_rating_4+	cont_rating_9+	prime_genre_Book	prime_genre_Business	prime_genre_Catalogs	prime_genre_Education	prime_genre_Entertainment	prime_genre_Finance	prime_genre_Food & Drink	prime_genre_Games	prime_genre_Health & Fitness	prime_genre_Lifestyle	prime_genre_Medical	prime_genre_Music	prime_genre_Navigation	prime_genre_News	prime_genre_Photo & Video	prime_genre_Productivity	prime_genre_Reference	prime_genre_Shopping	prime_genre_Social Networking	prime_genre_Sports	prime_genre_Travel	prime_genre_Utilities	prime_genre_Weather	user_rating
ABC News - US & World News + Live Video	-0.28126701733755116	-0.2959602425094711	0.4689310489682968	-0.0968084886371818	-1.8667417328074443	-0.5600302600241294	-11.955751753863076	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3.0
Rowmote: Remote Control for Mac	-0.40382248288730505	-0.1262246341476967	-0.09720723758399219	0.7058766412266358	-0.35606629228849634	0.9553044532011324	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4.0
Peekaboo Barn	-0.4147728770246598	0.04522547530864108	-0.12543756822698113	1.5085617710904535	0.6510506680574688	-0.5600302600241294	0.08364175006200619	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0
Speedtest by Ookla	-0.487770753069171	-0.2959602425094711	0.6882376727519279	0.17075322131742407	0.14749218788448623	1.4604160242762199	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4.0
Pocket God	-0.14989934968455246	-0.1262246341476967	2.305909561463108	1.5085617710904535	0.6510506680574688	-0.5600302600241294	0.08364175006200619	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0
Nike+ Training Club - Workouts & Fitness Plans	-0.16361228792997712	-0.2959602425094711	0.2782904905850066	-0.0968084886371818	-1.8667417328074443	1.4604160242762199	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0
Citi Mobile®	0.22860340419357808	-0.2959602425094711	0.4744107436440875	-0.0968084886371818	-1.8667417328074443	-0.5600302600241294	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0
Phase 10 Pro - Play Your Friends!	-0.36872477337806947	0.04522547530864108	0.6108485390294965	0.7058766412266358	0.6510506680574688	-0.5600302600241294	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0
Kindle – Read eBooks, Magazines & Textbooks	-0.0818164643957818	-0.2959602425094711	3.1581935427601184	-0.0968084886371818	0.6510506680574688	0.4501928821260452	0.08364175006200619	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0
MASH	-0.4383386041632628	0.04522547530864108	-0.10536736122167562	-0.0968084886371818	-0.35606629228849634	1.207860238738676	0.08364175006200619	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0
